Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,149.05,-106.2,90.0,top
C10,4.7uF,C_1206,133.6,-105.2,90.0,top
C11,4.7uF,C_1206,137.05,-104.8,0.0,top
C12,47u,CP_Elec_6.3x7.7,134.0,-116.25,-90.0,top
C14,47u,CP_Elec_6.3x7.7,171.45,-119.7,0.0,top
C15,47u,CP_Elec_6.3x7.7,171.2,-126.95,0.0,top
C16,10uF,C_0603,167.9,-92.8,0.0,top
C18,10uF,C_0603,158.0,-97.3,180.0,top
C2,100nF,C_0603,161.45,-103.45,-90.0,top
C20,100nF,C_0603,111.8,-116.4,0.0,top
C21,100nF,C_0603,114.8,-116.4,0.0,top
C22,3.3nF,C_0603,99.55,-108.0,180.0,top
C23,100nF,C_0603,95.5,-94.1,90.0,top
C24,100nF,C_0603,94.7,-91.9,180.0,top
C3,100nF,C_0603,148.875,-109.7875,90.0,top
C4,4.7uF,C_0603,151.7,-126.75,-90.0,top
C5,22nF,C_0603,155.4,-121.18,0.0,top
C50,100uF,CP_Elec_10x10,121.2,-108.1,90.0,top
C51,100uF,CP_Elec_10x10,103.9,-120.6,180.0,top
C6,470nF,C_0603,153.4,-122.4,0.0,top
C7,100nF,C_0603,156.6,-118.8,-90.0,top
C8,100nF,C_0603,131.8,-104.4,90.0,top
C9,100nF,C_0603,136.3,-103.05,0.0,top
D2,SS510C,SMC_L7.1-W6.2-LS8.1-RD,82.2,-124.4,-90.0,top
D4,SS510C,SMC_L7.1-W6.2-LS8.1-RD,82.6,-113.1,-90.0,top
D5,SS510C,SMC_L7.1-W6.2-LS8.1-RD,127.0,-134.6,180.0,top
D6,SS510C,SMC_L7.1-W6.2-LS8.1-RD,120.5,-123.1,180.0,top
D7,Red,D_0603,175.333662,-101.427037,90.0,top
D8,SS510C,SMC_L7.1-W6.2-LS8.1-RD,129.0,-125.3,-90.0,top
L1,100uH 4A,L_Sunlord_SWRB1207S,91.6,-102.6,90.0,top
R1,10kΩ,R_0402,153.7,-110.6,180.0,top
R10,33kΩ,R_0402,111.3,-117.4,0.0,top
R11,33kΩ,R_0402,114.55,-117.4,0.0,top
R12,1kΩ,R_0402,99.8,-109.2,0.0,top
R13,18.7k,R_0402,99.8,-106.8,180.0,top
R14,16.5k,R_0402,99.8,-103.8,180.0,top
R15,9.53k,R_0402,99.8,-104.8,180.0,top
R16,5.11k,R_0402,99.8,-105.8,180.0,top
R17,33kΩ,R_0402,96.9,-94.5,90.0,top
R18,33kΩ,R_0402,96.9,-92.4,90.0,top
R19,10kΩ,R_0402,154.2,-102.2,180.0,top
R2,10kΩ,R_0402,155.7,-103.7,-90.0,top
R20,10kΩ,R_0402,149.9,-96.8,-90.0,top
R21,10kΩ,R_0402,151.7,-97.7,180.0,top
R22,10kΩ,R_0402,154.4,-107.9,0.0,top
R23,10kΩ,R_0402,152.8,-102.8,90.0,top
R24,10kΩ,R_0402,154.4,-108.8,0.0,top
R25,10kΩ,R_0402,154.6,-105.0,-90.0,top
R26,330Ω,R_0402,173.6,-101.1,90.0,top
R4,0603/3R3,R_1206,153.34,-124.2,0.0,top
R5,100kΩ,R_0402,160.7,-107.35,-90.0,top
R6,"1206, 0R15, 0.5W",R_1206,157.8,-110.9,90.0,top
R7,"1206, 0R15, 0.5W",R_1206,143.75,-111.4,90.0,top
R8,33kΩ,R_0402,130.8,-104.1,90.0,top
R9,33kΩ,R_0402,135.8,-102.05,0.0,top
RV1,100K TRIM,Potentiometer_Bourns_3296W_Vertical,165.295,-111.0,90.0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,107.6125,-108.195,90.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,156.65,-122.95,180.0,top
TP2,TestPoint,TestPoint_Pad_D1.0mm,150.0,-124.85,180.0,top
TP3,TestPoint,TestPoint_Pad_D1.0mm,153.85,-126.4,180.0,top
TP4,TestPoint,TestPoint_Pad_D1.0mm,160.85,-109.55,0.0,top
TP5,TestPoint,TestPoint_Pad_D1.0mm,155.4,-112.05,180.0,top
TP6,TestPoint,TestPoint_Pad_D1.0mm,146.0,-111.7,180.0,top
TP7,TestPoint,TestPoint_Pad_D1.0mm,138.6,-115.7,0.0,top
TP8,TestPoint,TestPoint_Pad_D1.0mm,105.3,-101.7,0.0,top
U1,SN74CB3Q3384APW,TSSOP-24_4.4x7.8mm_P0.65mm,144.3,-104.2,-90.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,166.0,-100.75,90.0,top
U3,TMC5130A-TA,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,150.625,-116.625,-90.0,top
U4,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,162.055,-94.7,0.0,top
U5,LM2596HVS-ADJRG,TO-263-5_TabPin3,91.8,-118.6,-90.0,top
